Date Time Milliseconds
2025/1/13 9:51:53 340590
2025/1/13 9:51:53 340763
2025/1/13 9:51:54 341057
2025/1/13 9:51:54 341271
2025/1/13 9:51:54 341364
2025/1/13 9:51:54 341457
2025/1/13 9:51:54 341671
2025/1/13 9:51:54 341965
2025/1/13 9:51:55 342059
2025/1/13 9:51:55 342152
2025/1/13 9:51:55 342245
2025/1/13 9:51:55 342419
2025/1/13 9:51:55 342633
2025/1/13 9:51:55 342726
2025/1/13 9:51:55 342980
2025/1/13 9:51:56 343073
2025/1/13 9:51:56 343170
2025/1/13 9:51:56 343307
2025/1/13 9:51:56 343442
2025/1/13 9:51:56 343616
2025/1/13 9:51:56 343991
2025/1/13 9:51:58 345811
2025/1/13 9:52:0 Stopped
2025/1/13 9:52:2 349503
2025/1/13 9:52:3 350038
2025/1/13 9:52:3 350413
2025/1/13 9:52:3 350708
2025/1/13 9:52:4 351042
2025/1/13 9:52:4 351498
2025/1/13 9:52:5 352074
2025/1/13 9:52:5 352528
2025/1/13 9:52:5 352822
2025/1/13 9:52:6 353117
2025/1/13 9:52:6 353492
2025/1/13 9:52:6 353827
2025/1/13 9:52:7 354285
2025/1/13 9:52:7 354825
2025/1/13 9:52:8 355442
2025/1/13 9:52:8 355937
2025/1/13 9:52:9 356311
2025/1/13 9:52:9 356606
2025/1/13 9:52:9 356900
2025/1/13 9:52:10 357194
2025/1/13 9:52:10 357569
2025/1/13 9:52:11 358144
2025/1/13 9:52:11 358599
2025/1/13 9:52:11 358934
2025/1/13 9:52:12 359228
2025/1/13 9:52:12 359562
2025/1/13 9:52:12 359937
2025/1/13 9:52:13 360392
2025/1/13 9:52:13 360888
2025/1/13 9:52:14 361384
2025/1/13 9:52:14 361801
2025/1/13 9:52:15 362902
2025/1/13 9:52:16 363237
2025/1/13 9:52:16 363415
2025/1/13 9:52:16 363589
2025/1/13 9:52:16 363762
2025/1/13 9:52:16 363895
2025/1/13 9:52:17 364109
2025/1/13 9:52:17 364202
2025/1/13 9:52:17 364416
2025/1/13 9:52:17 364630
2025/1/13 9:52:17 364724
2025/1/13 9:52:17 364938
2025/1/13 9:52:18 365031
2025/1/13 9:52:18 365125
2025/1/13 9:52:18 365339
2025/1/13 9:52:18 365553
2025/1/13 9:52:18 365649
2025/1/13 9:52:18 365742
2025/1/13 9:52:18 365836
2025/1/13 9:52:18 365929
2025/1/13 9:52:19 366025
2025/1/13 9:52:19 366640
2025/1/13 9:52:19 366776
2025/1/13 9:52:19 366909
2025/1/13 9:52:20 367083
2025/1/13 9:52:20 367256
2025/1/13 9:52:20 367430
2025/1/13 9:52:20 367604
2025/1/13 9:52:20 367817
2025/1/13 9:52:20 367991
2025/1/13 9:52:21 368286
2025/1/13 9:52:23 Stopped
2025/1/13 9:52:24 371417
2025/1/13 9:52:24 371750
2025/1/13 9:52:24 371934
2025/1/13 9:52:25 372108
2025/1/13 9:52:25 372322
2025/1/13 9:52:25 372537
2025/1/13 9:52:25 372831
2025/1/13 9:52:26 373209
2025/1/13 9:52:26 373588
2025/1/13 9:52:26 373882
2025/1/13 9:52:27 374136
2025/1/13 9:52:27 374349
2025/1/13 9:52:27 374563
2025/1/13 9:52:27 374817
2025/1/13 9:52:28 375031
2025/1/13 9:52:28 375325
2025/1/13 9:52:28 375579
2025/1/13 9:52:28 375834
2025/1/13 9:52:29 376088
2025/1/13 9:52:29 376382
2025/1/13 9:52:29 376679
2025/1/13 9:52:30 377014
2025/1/13 9:52:30 377349
2025/1/13 9:52:30 377684
2025/1/13 9:52:31 378059
2025/1/13 9:52:31 378515
2025/1/13 9:52:31 378932
2025/1/13 9:52:32 379428
2025/1/13 9:52:32 379926
2025/1/13 9:52:33 380421
2025/1/13 9:52:33 380876
2025/1/13 9:52:34 381291
2025/1/13 9:52:34 381625
2025/1/13 9:52:34 381990
2025/1/13 9:52:35 382325
2025/1/13 9:52:35 382659
2025/1/13 9:52:36 383034
2025/1/13 9:52:36 383371
2025/1/13 9:52:36 383745
2025/1/13 9:52:37 384040
2025/1/13 9:52:37 384374
2025/1/13 9:52:37 384750
2025/1/13 9:52:39 386121
2025/1/13 9:52:39 386255
2025/1/13 9:52:39 386469
2025/1/13 9:52:39 386603
2025/1/13 9:52:39 386737
2025/1/13 9:52:39 386951
2025/1/13 9:52:40 387285
2025/1/13 9:52:40 387458
2025/1/13 9:52:40 387712
2025/1/13 9:52:40 387806
2025/1/13 9:52:40 387901
2025/1/13 9:52:41 388117
2025/1/13 9:52:41 388253
2025/1/13 9:52:41 388388
2025/1/13 9:52:41 388602
2025/1/13 9:52:41 388735
2025/1/13 9:52:41 388868
2025/1/13 9:52:41 389002
2025/1/13 9:52:42 389135
2025/1/13 9:52:42 389269
2025/1/13 9:52:42 389564
2025/1/13 9:52:42 389737
2025/1/13 9:52:42 389871
2025/1/13 9:52:43 390045
2025/1/13 9:52:43 390219
2025/1/13 9:52:43 390433
2025/1/13 9:52:43 390769
2025/1/13 9:52:45 Stopped
2025/1/13 9:52:47 Stopped
2025/1/13 9:52:49 396528
2025/1/13 9:52:49 396783
2025/1/13 9:52:49 396959
2025/1/13 9:52:50 397216
2025/1/13 9:52:50 397430
2025/1/13 9:52:50 397684
2025/1/13 9:52:50 397898
2025/1/13 9:52:51 398152
2025/1/13 9:52:51 398366
2025/1/13 9:52:51 398580
2025/1/13 9:52:51 398754
2025/1/13 9:52:52 399008
2025/1/13 9:52:52 399222
2025/1/13 9:52:52 399436
2025/1/13 9:52:52 399650
2025/1/13 9:52:52 399905
2025/1/13 9:52:53 400159
2025/1/13 9:52:53 400414
2025/1/13 9:52:53 400749
2025/1/13 9:52:54 401084
2025/1/13 9:52:54 401460
2025/1/13 9:52:54 401915
2025/1/13 9:52:55 402330
2025/1/13 9:52:55 402787
2025/1/13 9:52:56 403243
2025/1/13 9:52:56 403698
2025/1/13 9:52:57 404153
2025/1/13 9:52:57 404526
2025/1/13 9:52:57 404861
2025/1/13 9:52:58 405156
2025/1/13 9:52:58 405490
2025/1/13 9:52:58 405865
2025/1/13 9:52:59 406239
2025/1/13 9:52:59 406614
2025/1/13 9:52:59 406989
2025/1/13 9:53:0 407324
2025/1/13 9:53:2 409111
2025/1/13 9:53:2 409327
2025/1/13 9:53:2 409503
2025/1/13 9:53:2 409638
