Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/13 11:30:10 27.27 314.00 0
2025/1/13 11:30:10 27.33 307.00 0
2025/1/13 11:30:10 27.27 319.00 0
2025/1/13 11:30:10 27.25 317.00 0
2025/1/13 11:30:10 27.23 309.00 0
2025/1/13 11:30:11 27.35 308.00 0
2025/1/13 11:30:11 27.29 311.00 0
2025/1/13 11:30:11 27.31 318.00 0
2025/1/13 11:30:11 27.35 318.00 0
2025/1/13 11:30:12 27.37 320.00 0
2025/1/13 11:30:12 27.33 319.00 0
2025/1/13 11:30:12 27.27 311.00 0
2025/1/13 11:30:12 27.39 319.00 0
2025/1/13 11:30:13 27.35 319.00 0
2025/1/13 11:30:13 27.21 311.00 0
2025/1/13 11:30:13 27.29 313.00 0
2025/1/13 11:30:13 27.27 320.00 0
2025/1/13 11:30:14 27.29 313.00 0
2025/1/13 11:30:14 27.35 311.00 0
2025/1/13 11:30:14 27.39 313.00 0
2025/1/13 11:30:14 27.33 314.00 0
2025/1/13 11:30:14 27.33 312.00 0
2025/1/13 11:30:15 27.35 314.00 0
2025/1/13 11:30:15 27.35 317.00 0
2025/1/13 11:30:15 27.33 313.00 0
2025/1/13 11:30:15 27.27 312.00 0
2025/1/13 11:30:16 27.27 312.00 0
2025/1/13 11:30:16 27.39 312.00 0
2025/1/13 11:30:16 27.39 316.00 0
2025/1/13 11:30:16 27.33 307.00 0
2025/1/13 11:30:17 27.33 313.00 0
2025/1/13 11:30:17 27.33 317.00 0
2025/1/13 11:30:17 27.35 306.00 0
2025/1/13 11:30:17 27.33 320.00 0
2025/1/13 11:30:18 27.33 308.00 0
2025/1/13 11:30:18 27.41 312.00 0
2025/1/13 11:30:18 27.37 319.00 0
2025/1/13 11:30:18 27.27 313.00 0
2025/1/13 11:30:18 27.35 308.00 0
2025/1/13 11:30:19 27.37 317.00 0
2025/1/13 11:30:19 27.25 307.00 0
2025/1/13 11:30:19 27.33 308.00 0
2025/1/13 11:30:19 27.35 316.00 0
